Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-02-21,BBCA.JK,888769125285888,15.48,3.16,21.14
2026-02-21,BMRI.JK,478333326327808,8.5,1.63,19.14
2026-02-21,BBNI.JK,166537893773312,8.33,0.97,11.73
2026-02-21,GOTO.JK,64563286376448,N/A,2.01,-6.33
2026-02-21,TLKM.JK,344736523091968,15.87,2.51,18.31
2026-02-23,BBCA.JK,897995117690880,15.64,3.19,21.14
2026-02-23,BMRI.JK,492333342654464,8.74,1.67,19.14
2026-02-23,BBNI.JK,167655591903232,8.38,0.98,11.73
2026-02-23,GOTO.JK,65621702213632,N/A,2.05,-6.33
2026-02-23,TLKM.JK,351670882009088,16.19,2.56,18.31
2026-02-24,BBCA.JK,888769125285888,15.46,3.16,21.14
2026-02-24,BMRI.JK,501666675687424,8.91,1.71,19.14
2026-02-24,BBNI.JK,165792750501888,8.29,0.97,11.73
2026-02-24,GOTO.JK,64563286376448,N/A,2.01,-6.33
2026-02-24,TLKM.JK,354642730942464,16.32,2.59,18.31
2026-02-25,BBCA.JK,901070448492544,15.69,3.2,21.14
2026-02-25,BMRI.JK,494666650746880,8.79,1.68,19.14
2026-02-25,BBNI.JK,167655591903232,8.38,0.98,11.73
2026-02-25,GOTO.JK,63504870539264,N/A,1.98,-6.33
2026-02-25,TLKM.JK,356623985934336,16.43,2.6,18.31
2026-02-26,BBCA.JK,897995117690880,15.62,3.19,21.14
2026-02-26,BMRI.JK,496999992393728,8.83,1.69,19.14
2026-02-26,BBNI.JK,166165322137600,8.31,0.97,11.73
2026-02-26,GOTO.JK,63504870539264,N/A,1.98,-6.33
2026-02-26,TLKM.JK,361577089859584,16.65,2.64,18.31
2026-02-27,BBCA.JK,882618463682560,15.36,3.14,21.14
2026-02-27,BMRI.JK,492333342654464,8.74,1.67,19.14
2026-02-27,BBNI.JK,163929909100544,8.19,0.95,11.73
2026-02-27,GOTO.JK,64563286376448,N/A,2.01,-6.33
2026-02-27,TLKM.JK,350680254513152,16.14,2.56,18.31
2026-03-02,BBCA.JK,864166545981440,15.04,3.07,21.14
2026-03-02,BMRI.JK,473666643034112,8.41,1.61,19.14
2026-03-02,BBNI.JK,160204226297856,8.01,0.93,11.73
2026-03-02,GOTO.JK,62446458896384,N/A,1.95,-6.33
2026-03-02,TLKM.JK,341764640604160,15.74,2.49,18.31
2026-03-03,BBCA.JK,870317207584768,15.14,3.09,21.14
2026-03-03,BMRI.JK,475999984680960,8.45,1.62,19.14
2026-03-03,BBNI.JK,160204226297856,8.01,0.93,11.73
2026-03-03,GOTO.JK,61388043059200,N/A,1.91,-6.33
2026-03-03,TLKM.JK,341764640604160,15.72,2.49,18.31
2026-03-04,BBCA.JK,845714561171456,14.72,3.0,21.14
2026-03-04,BMRI.JK,464799985041408,8.25,1.58,19.14
2026-03-04,BBNI.JK,154615718871040,7.73,0.9,11.73
2026-03-04,GOTO.JK,60329627222016,N/A,1.88,-6.33
2026-03-04,TLKM.JK,316999087423488,14.58,2.31,18.31
2026-03-05,BBCA.JK,873392538386432,15.21,3.1,21.14
2026-03-05,BMRI.JK,478333326327808,8.5,1.63,19.14
2026-03-05,BBNI.JK,159459099803648,7.97,0.93,11.73
2026-03-05,GOTO.JK,60329627222016,N/A,1.88,-6.33
2026-03-05,TLKM.JK,322942818844672,14.87,2.35,18.31
2026-03-06,BBCA.JK,861091215179776,14.98,3.06,21.14
2026-03-06,BMRI.JK,464799985041408,8.26,1.58,19.14
2026-03-06,BBNI.JK,159086528167936,7.95,0.93,11.73
2026-03-06,GOTO.JK,59271211384832,N/A,1.85,-6.33
2026-03-06,TLKM.JK,316008493481984,14.54,2.3,18.31
2026-03-09,BBCA.JK,845714561171456,14.72,3.0,21.14
2026-03-09,BMRI.JK,449866652188672,7.99,1.53,19.14
2026-03-09,BBNI.JK,159831671439360,7.99,0.93,11.73
2026-03-09,GOTO.JK,58212799741952,N/A,1.81,-6.33
2026-03-09,TLKM.JK,307092879572992,14.15,2.24,18.31
2026-03-10,BBCA.JK,858015884378112,14.94,3.05,21.14
2026-03-10,BMRI.JK,458266668695552,8.14,1.56,19.14
2026-03-10,BBNI.JK,158713956532224,7.93,0.92,11.73
2026-03-10,GOTO.JK,58212799741952,N/A,1.81,-6.33
2026-03-10,TLKM.JK,293224161738752,13.51,2.14,18.31
2026-03-11,BBCA.JK,839563899568128,14.6,2.98,21.14
2026-03-11,BMRI.JK,455466652008448,8.09,1.55,19.14
2026-03-11,BBNI.JK,159831671439360,7.99,0.93,11.73
2026-03-11,GOTO.JK,60329627222016,N/A,1.88,-6.33
2026-03-11,TLKM.JK,297186671722496,13.68,2.17,18.31
2026-03-12,BBCA.JK,848789891973120,14.78,3.02,21.14
2026-03-12,BMRI.JK,462933318434816,8.22,1.57,19.14
2026-03-12,BBNI.JK,159459099803648,7.97,0.93,11.73
2026-03-12,GOTO.JK,59271211384832,N/A,1.85,-5.08
2026-03-12,TLKM.JK,299167893159936,13.77,2.18,18.31
2026-03-13,BBCA.JK,845714561171456,14.72,3.0,21.14
2026-03-13,BMRI.JK,443333335842816,7.88,1.51,19.14
2026-03-13,BBNI.JK,157968830038016,7.89,0.92,11.73
2026-03-13,GOTO.JK,58212799741952,N/A,1.84,-5.08
2026-03-13,TLKM.JK,294214789234688,13.55,2.15,18.31
2026-03-16,BBCA.JK,830337974272000,14.46,2.95,21.14
2026-03-16,BMRI.JK,438666652549120,7.79,1.49,19.14
2026-03-16,BBNI.JK,160949369569280,8.04,0.94,11.73
2026-03-16,GOTO.JK,55037556424704,N/A,1.74,-5.08
2026-03-16,TLKM.JK,293224161738752,13.5,2.14,18.31
2026-03-17,BBCA.JK,833413305073664,14.5,2.96,21.14
2026-03-17,BMRI.JK,441466669236224,7.84,1.5,19.14
2026-03-17,BBNI.JK,163557337464832,8.18,0.95,11.73
2026-03-17,GOTO.JK,53979140587520,N/A,1.7,-5.08
